ID,Número de Caso,Fecha,Tipo Principal,Descripción,Ubicación,¿Hubo Arresto?,Violencia Doméstica,Distrito,Barrio,Área Comunitaria,Latitud,Longitud,Año,Mes,Día,Hora,Día de la Semana,¿Es Fin de Semana?
9376046,HW519662,2013-11-03 19:40:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,12.0,27.0,28.0,41.886521117,-87.66590113,2013,11,3,19,Domingo,Sí
9256639,HW401697,2013-08-09 16:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,ATM (AUTOMATIC TELLER MACHINE),No,No,4.0,10.0,46.0,41.727872617,-87.551207132,2013,8,9,16,Viernes,No
10575856,HZ324436,2016-06-26 16:05:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,Sí,8.0,23.0,56.0,41.798910699,-87.74047549,2016,6,26,16,Domingo,Sí
10788843,HZ558423,2016-12-20 11:50:00,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",No,No,25.0,36.0,19.0,41.935428738,-87.783396923,2016,12,20,11,Martes,No
9534996,HX188995,2014-03-18 02:30:00,BATTERY,SIMPLE,STREET,No,No,5.0,9.0,54.0,41.675253432,-87.601695694,2014,3,18,2,Martes,No
10600966,HZ352928,2016-07-17 16:50:00,THEFT,POCKET-PICKING,STREET,No,No,1.0,2.0,28.0,41.878840427,-87.639582928,2016,7,17,16,Domingo,Sí
10027594,HY216859,2015-03-28 09:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,No,No,8.0,15.0,66.0,41.778251233,-87.695808899,2015,3,28,9,Sábado,Sí
10651218,HZ401584,2016-08-21 12:00:00,THEFT,FROM BUILDING,RESIDENCE,No,No,5.0,34.0,49.0,41.695649689,-87.623192356,2016,8,21,12,Domingo,Sí
10640698,HZ392502,2016-08-14 20:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,No,No,8.0,18.0,70.0,41.738626817,-87.715001054,2016,8,14,20,Domingo,Sí
8882770,HV556765,2012-11-10 19:35:00,BATTERY,SIMPLE,BAR OR TAVERN,Sí,No,12.0,27.0,24.0,41.891198365,-87.646533906,2012,11,10,19,Sábado,Sí
9070391,HW215771,2013-04-02 01:30:00,NARCOTICS,POSS: CRACK,STREET,Sí,No,6.0,21.0,71.0,41.742314258,-87.655945924,2013,4,2,1,Martes,No
9013465,HW161458,2013-02-18 17:27:00,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,CURRENCY EXCHANGE,Sí,No,7.0,16.0,68.0,41.779220641,-87.649632877,2013,2,18,17,Lunes,No
9996599,HY185521,2015-03-12 21:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,No,No,18.0,43.0,8.0,41.909566861,-87.638544962,2015,3,12,21,Jueves,No
9393538,HW537466,2013-11-17 18:50:00,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Sí,No,15.0,28.0,25.0,41.87919597,-87.749373105,2013,11,17,18,Domingo,Sí
9349891,HW493686,2013-10-10 22:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,No,Sí,12.0,2.0,28.0,41.880026057,-87.651978078,2013,10,10,22,Jueves,No
8702079,HV378519,2012-07-11 23:50:00,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,Sí,No,17.0,30.0,16.0,41.941264195,-87.73956665,2012,7,11,23,Miércoles,No
9795290,HX443894,2014-09-26 10:40:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Sí,No,11.0,27.0,23.0,41.894048023,-87.719931808,2014,9,26,10,Viernes,No
10698204,HZ453616,2016-09-28 16:00:00,SEX OFFENSE,OTHER,ALLEY,No,No,9.0,12.0,58.0,41.816441427,-87.694454476,2016,9,28,16,Miércoles,No
10254383,HY442309,2015-09-28 21:10:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,8.0,15.0,66.0,41.778420902,-87.700687045,2015,9,28,21,Lunes,No
10707938,HZ461954,2016-10-01 18:00:00,ROBBERY,STRONGARM - NO WEAPON,ALLEY,No,No,9.0,12.0,58.0,41.813190582,-87.685833339,2016,10,1,18,Sábado,Sí
8979913,HW127524,2013-01-22 19:55:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Sí,No,7.0,6.0,69.0,41.77048403,-87.626704252,2013,1,22,19,Martes,No
9720793,HX370629,2014-03-29 09:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,No,Sí,18.0,27.0,8.0,41.907153315,-87.639680572,2014,3,29,9,Sábado,Sí
8772497,HV446555,2012-08-25 15:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,No,Sí,14.0,26.0,23.0,41.907286653,-87.715404057,2012,8,25,15,Sábado,Sí
10132616,HY321536,2015-06-30 01:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,No,No,3.0,20.0,42.0,41.778222388,-87.604651032,2015,6,30,1,Martes,No
9276863,HW421262,2013-08-24 03:19:00,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),Sí,No,18.0,43.0,8.0,41.904495882,-87.628696228,2013,8,24,3,Sábado,Sí
10621961,HZ374962,2016-08-02 11:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,No,Sí,12.0,27.0,28.0,41.885184182,-87.671030673,2016,8,2,11,Martes,No
10011281,HY200388,2015-03-20 12:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,No,No,16.0,45.0,11.0,41.976198638,-87.761307931,2015,3,20,12,Viernes,No
9285117,HW429471,2013-08-29 18:50:00,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,No,No,25.0,36.0,25.0,41.909090729,-87.789974972,2013,8,29,18,Jueves,No
8788989,HV462976,2012-09-05 19:30:00,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE PORCH/HALLWAY,No,No,4.0,10.0,52.0,41.716873697,-87.535282917,2012,9,5,19,Miércoles,No
8990440,HW137479,2013-01-30 01:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,No,No,3.0,5.0,43.0,41.771127945,-87.568278011,2013,1,30,1,Miércoles,No
