Mes,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
1,562,2013.9021352313168,2012,2016,2.02427350752667,1.4227696607415656,2013,-1.3192245208280196,562,1.0,1,1,0.0,0.0,Enero,0.0,562,15.98576512455516,1,31,82.32065262209696,9.073072942619659,7,-1.2197842109115726,562,13.149466192170818,0,23,44.83680007104751,6.696028679078929,19,-0.8235294799851074,562,
2,443,2013.8487584650113,2012,2016,1.9567122560084889,1.3988253128995374,2013,-1.2144906617402138,443,2.0,2,2,0.0,0.0,Febrero,0.0,443,14.756207674943566,1,29,69.17120006537075,8.316922511684881,9,-1.235326294082705,443,13.386004514672686,0,23,38.97962268776239,6.243366294537138,18,-0.6828533228112978,443,
3,610,2013.7524590163935,2012,2016,1.9993781797625247,1.413993698629002,2012,-1.2362667317781402,610,3.0,3,3,0.0,0.0,Marzo,0.0,610,16.057377049180328,1,31,76.84891921720636,8.76635153397389,13,-1.131128192599432,610,12.575409836065575,0,23,44.691348353926095,6.685158812917319,15,-0.8915923321729999,610,
4,552,2013.7952898550725,2012,2016,1.9925004602961902,1.4115595843945767,2012,-1.2665566304399263,552,4.0,4,4,0.0,0.0,Abril,0.0,552,15.365942028985508,1,30,76.73698676977304,8.75996499820479,5,-1.2985273950885659,552,13.342391304347826,0,23,44.80270062337252,6.693481950627231,19,-0.8234741712587499,552,
5,652,2013.8067484662577,2012,2016,1.9564520840991766,1.3987323132390903,2012,-1.2516416951609624,652,5.0,5,5,0.0,0.0,Mayo,0.0,652,15.440184049079754,1,31,78.95955019648868,8.885918646740397,1,-1.1489506735838682,652,12.891104294478527,0,23,45.11101137466666,6.716473135110916,11,-0.8391452292902559,652,
6,651,2013.8955453149001,2012,2016,2.1059955098665206,1.451204847658152,2012,-1.3454514919662204,651,6.0,6,6,0.0,0.0,Junio,0.0,651,15.188940092165899,1,30,75.29193902871319,8.677092775158808,8,-1.2143560528587594,651,13.204301075268818,0,23,46.69204301075268,6.8331576164137084,19,-0.8828667921154718,651,
7,631,2013.8272583201267,2012,2016,2.0161446934822322,1.4199101004930672,2012,-1.3065534066254314,631,7.0,7,7,0.0,0.0,Julio,0.0,631,15.266244057052297,1,31,81.37662063240514,9.02089910332696,1,-1.2136524668529955,631,13.112519809825674,0,23,47.68414459286089,6.905370706403885,22,-0.9641520661722742,631,
8,640,2013.934375,2012,2016,2.0395050860719683,1.4281124206700144,2012,-1.330243300643637,640,8.0,8,8,0.0,0.0,Agosto,0.0,640,16.2671875,1,31,79.80486844679186,8.93335706477648,21,-1.1335216178499516,640,13.925,0,23,40.72989045383408,6.3819973718134735,19,-0.6169033436770217,640,
9,600,2013.8466666666666,2012,2016,1.9497384529771946,1.3963303523798352,2013,-1.2489490037759432,600,9.0,9,9,0.0,0.0,Septiembre,0.0,600,15.963333333333333,1,30,73.71150806900393,8.585540639296044,20,-1.1557713808587724,600,13.04,0,23,48.85315525876459,6.989503219740627,21,-0.9546207006169505,600,
10,569,2013.9173989455185,2012,2016,1.892812940914254,1.3757953848280833,2013,-1.271807084762338,569,10.0,10,10,0.0,0.0,Octubre,0.0,569,16.166959578207383,1,31,78.3822866902646,8.8533771347585,10,-1.191670291751475,569,12.799648506151142,0,23,43.399929453699386,6.587862282538956,10,-0.8275104305010448,569,
11,563,2013.8383658969803,2012,2016,2.0040770402585233,1.415654279920957,2012,-1.2927916464163518,563,11.0,11,11,0.0,0.0,Noviembre,0.0,563,15.072824156305506,1,30,73.32742741920192,8.563143547740042,2,-1.1523221622060889,563,13.296625222024867,0,23,39.2623907258396,6.265970852616504,16,-0.5881510812368824,563,
12,527,2013.7931688804554,2012,2016,1.9894589505126727,1.410481815023743,2012,-1.2909032319265399,527,12.0,12,12,0.0,0.0,Diciembre,0.0,527,15.578747628083491,1,31,80.67772238295541,8.982077843291908,22,-1.2419233357203714,527,13.261859582542694,0,23,43.71837144032151,6.611986951009621,18,-0.7861715701718515,527,
