Tipo Principal,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
ARSON,13,2013.6923076923076,2012,2016,2.2307692307691904,1.4935759876113404,2012,-1.2711923035346824,13,5.384615384615385,3,11,6.756410256410256,2.59930957302324,Marzo,-0.07565059333509927,13,18.384615384615383,8,28,47.42307692307693,6.886441528327742,9,-1.2524260130206093,13,9.076923076923077,1,22,44.57692307692307,6.676595170962747,5,-0.5708383089952536,13,
ASSAULT,427,2013.9227166276346,2012,2016,2.1747644335960867,1.4747082537221003,2012,-1.391601224580926,427,6.7283372365339575,1,12,11.001143472859013,3.316797170895292,Mayo,-1.1173690333803312,427,15.34192037470726,1,31,77.89220569317546,8.825656105535467,7,-1.1641793800538522,427,13.601873536299765,0,23,37.68149882903979,6.138525786297537,20,-0.43362817017633226,427,
BATTERY,1282,2013.8556942277692,2012,2016,1.961204865056378,1.400430242838385,2012,-1.267160402762545,1282,6.553042121684867,1,12,11.132625398692761,3.3365589158132307,Junio,-1.0951504166547703,1282,15.522620904836193,1,31,78.1388321575019,8.83961719519018,24,-1.2122961645606447,1282,12.744929797191888,0,23,51.768612055957675,7.19504079598981,22,-1.1349940369712892,1282,
BURGLARY,411,2013.6666666666667,2012,2016,2.0617886178860547,1.4358929688128064,2012,-1.2526605454126456,411,6.581508515815085,1,12,12.02931576761023,3.468330400583288,Agosto,-1.2141867922082434,411,16.347931873479318,1,31,72.12011156607919,8.492356066845007,16,-1.0861901539977816,411,11.69829683698297,0,23,35.284362945819254,5.940064220681394,8,-0.7458829037032944,411,
CRIM SEXUAL ASSAULT,35,2014.1714285714286,2012,2016,1.6756302521008342,1.2944613752834937,2015,-0.8811731995475691,35,6.171428571428572,1,12,11.616806722689072,3.4083436919842858,Enero,-0.8874498660583172,35,15.457142857142857,1,30,84.43193277310925,9.188685040478276,2,-1.0966987098157408,35,8.971428571428572,0,22,65.7344537815126,8.107678692542805,0,-1.4473348952155394,35,
CRIMINAL DAMAGE,749,2013.882510013351,2012,2016,2.0530225684157184,1.4328372442171227,2012,-1.3557645071355509,749,6.502002670226969,1,12,10.913431812827083,3.3035483669574273,Mayo,-1.1269640856860603,749,16.177570093457945,1,31,80.6355390074466,8.979729339320121,26,-1.2368155540722139,749,12.56475300400534,0,23,53.558969892119975,7.318399407802226,0,-1.1988269366386404,749,
CRIMINAL TRESPASS,178,2013.9831460674156,2012,2016,2.186155018091841,1.4785651889895965,2016,-1.3592162216253754,178,6.01123595505618,1,12,11.163714847965462,3.3412145767617893,Marzo,-1.0775011329506474,178,16.247191011235955,1,31,69.24928585031424,8.321615579340001,21,-1.006554995872293,178,13.53370786516854,0,23,41.79829238875134,6.4651598888775625,19,-0.5590720647811271,178,
DECEPTIVE PRACTICE,316,2014.0316455696202,2012,2016,1.9926461723929931,1.4116111973178,2014,-1.2620721784330584,316,6.496835443037975,1,12,11.0761804299779,3.3280896066629424,Junio,-1.0708474152787797,316,14.848101265822784,1,31,76.73875828812542,8.76006611208645,1,-1.1153942615345258,316,11.560126582278482,0,23,31.275738396624476,5.592471582102539,9,-0.2307441857137409,316,
GAMBLING,11,2013.6363636363637,2012,2016,1.8545454545454594,1.3618169680781111,2013,-1.141868512110964,11,7.2727272727272725,4,10,3.018181818181818,1.7372915179041823,Agosto,0.04723714133642787,11,10.181818181818182,1,31,98.96363636363637,9.948046861753134,3,0.8162429427588576,11,16.0,12,22,14.799999999999997,3.8470768123342687,12,-1.190345751156562,11,
HOMICIDE,15,2014.6,2012,2016,1.6857142857142635,1.298350602000193,2016,-0.7293439109011133,15,7.466666666666667,1,12,11.838095238095239,3.4406533155921477,Septiembre,-0.15007963152973236,15,17.733333333333334,4,30,47.209523809523816,6.870918702002216,21,0.5000711774493833,15,9.0,1,22,45.57142857142856,6.750661343263233,2,0.10801402683361383,15,
