Tipo Principal,¿Hubo Arresto?,Año,Año,Año,Año,Mes,Mes,Mes,Mes,Día,Día,Día,Día,Hora,Hora,Hora,Hora,Hora,Hora,Hora,Hora
,,count,min,max,obtener_moda,count,min,max,obtener_moda,count,min,max,obtener_moda,count,mean,min,max,var,std,obtener_moda,kurt
ARSON,No,10,2012,2016,2012,10,3,11,3,10,8,28,9,10,8.2,2,22,35.06666666666667,5.921711464320654,5,2.592431477354639
ARSON,Sí,3,2012,2016,Sin moda,3,6,8,8,3,23,24,23,3,12.0,1,19,93.0,9.643650760992955,Sin moda,
ASSAULT,No,330,2012,2016,2016,330,1,12,10,330,1,31,7,330,13.487878787878788,0,23,34.63359123146358,5.885031115590094,15,-0.2672098779738543
ASSAULT,Sí,97,2012,2016,2012,97,1,12,5,97,1,31,1,97,13.989690721649485,0,23,48.32280927835055,6.951460945610681,20,-0.812944429182636
BATTERY,No,992,2012,2016,2012,992,1,12,6,992,1,31,20,992,12.757056451612904,0,23,51.12860807753652,7.15042712553149,22,-1.113353787195117
BATTERY,Sí,290,2012,2016,2012,290,1,12,7,290,1,31,5,290,12.703448275862069,0,23,54.14012647655411,7.3579974501595276,21,-1.2046113792463835
BURGLARY,No,385,2012,2016,2012,385,1,12,8,385,1,31,14,385,11.672727272727272,0,23,35.054071969696956,5.9206479349558485,8,-0.7221432267898864
BURGLARY,Sí,26,2012,2016,2013,26,1,12,6,26,2,31,16,26,12.076923076923077,1,22,40.073846153846155,6.330390679400929,7,-1.0479858049937705
CRIM SEXUAL ASSAULT,No,31,2012,2016,2015,31,1,12,1,31,1,30,2,31,8.903225806451612,0,22,65.35698924731184,8.08436696639334,0,-1.3771779514028095
CRIM SEXUAL ASSAULT,Sí,4,2012,2016,Sin moda,4,4,12,Sin moda,4,16,29,16,4,9.5,0,20,91.0,9.539392014169456,Sin moda,-4.241758241758241
CRIMINAL DAMAGE,No,697,2012,2016,2012,697,1,12,5,697,1,31,26,697,12.645624103299857,0,23,53.30958211711929,7.301341117707026,0,-1.176151495841596
CRIMINAL DAMAGE,Sí,52,2012,2016,2012,52,1,12,3,52,1,30,9,52,11.48076923076923,0,23,56.72511312217193,7.531607605430061,3,-1.4233432126794285
CRIMINAL TRESPASS,No,51,2012,2016,2016,51,1,12,3,51,1,31,26,51,13.156862745098039,0,23,39.6949019607843,6.30038903249508,19,-0.834750879850513
CRIMINAL TRESPASS,Sí,127,2012,2016,2012,127,1,12,3,127,1,31,21,127,13.68503937007874,0,23,42.88413948256467,6.548598283798196,18,-0.4188679909293662
DECEPTIVE PRACTICE,No,276,2012,2016,2014,276,1,12,6,276,1,31,1,276,11.159420289855072,0,23,28.33812911725955,5.323356940621167,9,-0.0051598690695322524
DECEPTIVE PRACTICE,Sí,40,2012,2016,2012,40,1,12,7,40,1,30,10,40,14.325,0,22,43.81474358974359,6.6192706236974175,18,-0.4139506083923883
GAMBLING,Sí,11,2012,2016,2013,11,4,10,8,11,1,31,3,11,16.0,12,22,14.799999999999997,3.8470768123342687,12,-1.190345751156562
HOMICIDE,No,7,2012,2016,2016,7,3,12,9,7,12,30,30,7,7.714285714285714,2,22,46.9047619047619,6.848705126136028,2,3.900726326367595
HOMICIDE,Sí,8,2013,2016,2014,8,1,11,1,8,4,21,21,8,10.125,1,22,47.839285714285715,6.916594950861711,Sin moda,-0.15624823656434472
INTERFERENCE WITH PUBLIC OFFICER,No,1,2014,2014,Sin moda,1,7,7,Sin moda,1,21,21,Sin moda,1,10.0,10,10,,,Sin moda,
INTERFERENCE WITH PUBLIC OFFICER,Sí,27,2012,2016,2012,27,1,12,5,27,1,31,27,27,16.51851851851852,1,23,32.7977207977208,5.726929438863447,21,1.7078227230394623
INTIMIDATION,No,4,2012,2016,Sin moda,4,2,6,6,4,5,25,Sin moda,4,17.5,9,23,41.666666666666664,6.454972243679028,Sin moda,-0.9235199999999999
INTIMIDATION,Sí,1,2012,2012,Sin moda,1,3,3,Sin moda,1,9,9,Sin moda,1,16.0,16,16,,,Sin moda,
KIDNAPPING,No,3,2013,2016,Sin moda,3,1,11,Sin moda,3,7,30,Sin moda,3,9.0,0,19,91.0,9.539392014169456,Sin moda,
KIDNAPPING,Sí,1,2013,2013,Sin moda,1,6,6,Sin moda,1,19,19,Sin moda,1,14.0,14,14,,,Sin moda,
LIQUOR LAW VIOLATION,Sí,19,2012,2016,2012,19,1,12,4,19,3,29,5,19,16.36842105263158,0,23,52.24561403508774,7.228112757496782,22,0.8104298587328018
MOTOR VEHICLE THEFT,No,270,2012,2016,2012,270,1,12,6,270,1,31,13,270,14.207407407407407,0,23,49.287677268346386,7.0205183048224,22,-0.953109115665788
MOTOR VEHICLE THEFT,Sí,24,2012,2016,2013,24,1,12,12,24,2,31,20,24,14.75,0,23,50.108695652173914,7.078749582530372,10,-0.9377366343689673
NARCOTICS,No,4,2013,2014,2013,4,2,11,Sin moda,4,6,25,Sin moda,4,17.25,13,21,10.91666666666667,3.3040379335998353,Sin moda,1.1656663364605784
NARCOTICS,Sí,647,2012,2016,2013,647,1,12,1,647,1,31,2,647,15.347758887171562,0,23,33.96711184270341,5.828131076314551,19,0.3104754507732119
NON-CRIMINAL,No,2,2014,2016,Sin moda,2,9,12,Sin moda,2,8,30,Sin moda,2,15.5,9,22,84.5,9.192388155425117,Sin moda,
OFFENSE INVOLVING CHILDREN,No,39,2012,2016,2012,39,1,12,8,39,1,31,2,39,12.102564102564102,0,23,53.357624831309046,7.304630369245869,18,-0.8887264380663553
OFFENSE INVOLVING CHILDREN,Sí,8,2012,2014,2012,8,4,10,6,8,3,25,3,8,13.0,7,22,26.0,5.0990195135927845,11,-0.4682163989856303
OTHER OFFENSE,No,373,2012,2016,2015,373,1,12,5,373,1,31,14,373,13.03485254691689,0,23,34.38856698088733,5.86417658165981,12,-0.33456903439365826
OTHER OFFENSE,Sí,82,2012,2016,2014,82,1,12,10,82,1,31,16,82,13.353658536585366,0,23,51.441282746160795,7.1722578555264445,19,-0.8850218510928403
PROSTITUTION,Sí,36,2012,2016,2012,36,1,12,7,36,1,31,14,36,12.027777777777779,0,23,55.456349206349216,7.4469019871587685,8,-1.5094421786185348
PUBLIC INDECENCY,Sí,1,2013,2013,Sin moda,1,11,11,Sin moda,1,8,8,Sin moda,1,16.0,16,16,,,Sin moda,
PUBLIC PEACE VIOLATION,No,21,2012,2016,2013,21,1,12,10,21,1,29,13,21,11.476190476190476,0,23,34.26190476190475,5.853366959443492,11,0.027525454584228726
PUBLIC PEACE VIOLATION,Sí,58,2012,2016,2013,58,1,12,5,58,1,31,8,58,15.172413793103448,0,23,39.02238354506957,6.246789859205252,21,0.050563526615193144
ROBBERY,No,267,2012,2016,2012,267,1,12,1,267,1,31,23,267,12.958801498127341,0,23,54.15243164090001,7.358833578828917,21,-1.2082750251159216
ROBBERY,Sí,20,2012,2016,2012,20,3,12,8,20,1,29,10,20,13.55,1,23,39.734210526315806,6.303507795372019,10,-0.32044378094603454
SEX OFFENSE,No,14,2012,2016,2015,14,3,12,3,14,1,30,4,14,10.357142857142858,0,22,62.862637362637365,7.928596178557549,0,-1.522281263966558
SEX OFFENSE,Sí,10,2012,2016,2012,10,1,11,2,10,2,28,Sin moda,10,11.7,0,23,70.23333333333335,8.380532998165053,Sin moda,-1.5185851731986175
STALKING,No,3,2012,2016,Sin moda,3,7,11,Sin moda,3,5,18,Sin moda,3,14.333333333333334,3,22,100.33333333333333,10.016652800877813,Sin moda,
THEFT,No,1390,2012,2016,2013,1390,1,12,7,1390,1,31,29,1390,13.197841726618705,0,23,40.524545374499574,6.365889205327059,12,-0.612835469488775
THEFT,Sí,158,2012,2016,2013,158,1,12,3,158,1,31,22,158,13.69620253164557,1,23,25.49947593324196,5.0497005785731455,18,0.07385405463749928
WEAPONS VIOLATION,No,13,2012,2016,2013,13,2,10,9,13,3,28,6,13,11.923076923076923,0,20,44.57692307692307,6.676595170962747,8,-0.710530085392679
WEAPONS VIOLATION,Sí,67,2012,2016,2015,67,1,12,8,67,1,31,10,67,15.477611940298507,0,23,49.58661239258253,7.041776224262067,21,-0.011160990043066032
