Tipo Principal,¿Hubo Arresto?,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
ARSON,No,10,2013.5,2012,2016,1.833333333333346,1.3540064007726647,2012,-0.4675324675324677,10,4.8,3,11,7.066666666666666,2.6583202716502514,Marzo,2.765918222041396,10,16.9,8,28,52.54444444444445,7.248754682319195,9,-1.5938547075240215,10,8.2,2,22,35.06666666666667,5.921711464320654,5,2.592431477354639,10,
ARSON,Sí,3,2014.3333333333333,2012,2016,4.333333333333201,2.081665999466101,No hay moda,,3,7.333333333333333,6,8,1.3333333333333335,1.1547005383792517,Agosto,,3,23.333333333333332,23,24,0.33333333333333304,0.5773502691896255,23,,3,12.0,1,19,93.0,9.643650760992955,No hay moda,,3,
ASSAULT,No,330,2013.9333333333334,2012,2016,2.2022289766969565,1.4839908950855987,2016,-1.3959765947013343,330,6.6878787878787875,1,12,11.254867827208257,3.3548275406059633,Octubre,-1.1519458997750287,330,15.642424242424243,1,31,78.76536796536797,8.874985519163847,7,-1.2055818096368127,330,13.487878787878788,0,23,34.63359123146358,5.885031115590094,15,-0.2672098779738543,330,
ASSAULT,Sí,97,2013.8865979381444,2012,2016,2.101589347079081,1.449685947741469,2012,-1.4133581310916699,97,6.865979381443299,1,12,10.221434707903784,3.19709785710475,Mayo,-0.9967151444451225,97,14.31958762886598,1,31,74.34471649484534,8.622338226655536,1,-0.9951434137604798,97,13.989690721649485,0,23,48.32280927835055,6.951460945610681,20,-0.812944429182636,97,
BATTERY,No,992,2013.8689516129032,2012,2016,1.980790827121445,1.4074057080747702,2012,-1.2824297702924157,992,6.537298387096774,1,12,10.933017113700723,3.3065113206672563,Junio,-1.0869600643463149,992,15.65625,1,31,77.67283678102932,8.813219433386946,20,-1.205047715813903,992,12.757056451612904,0,23,51.12860807753652,7.15042712553149,22,-1.113353787195117,992,
BATTERY,Sí,290,2013.8103448275863,2012,2016,1.8981625104402486,1.3777381864636868,2012,-1.2109288978754642,290,6.606896551724138,1,12,11.851855387185301,3.4426523767562274,Julio,-1.1258067996650853,290,15.065517241379311,1,31,79.73617706717575,8.929511580549955,5,-1.2022371820887585,290,12.703448275862069,0,23,54.14012647655411,7.3579974501595276,21,-1.2046113792463835,290,
BURGLARY,No,385,2013.696103896104,2012,2016,2.0870941558441944,1.4446778726914158,2012,-1.2943763500694956,385,6.579220779220779,1,12,12.062067099567093,3.4730486750932665,Agosto,-1.2363304718708024,385,16.212987012987014,1,31,72.53264339826838,8.516609853590124,14,-1.083619691462902,385,11.672727272727272,0,23,35.054071969696956,5.9206479349558485,8,-0.7221432267898864,385,
BURGLARY,Sí,26,2013.2307692307693,2012,2016,1.5446153846153279,1.2428255648381747,2013,0.7942075453596469,26,6.615384615384615,1,12,12.006153846153845,3.46498973247452,Junio,-0.7910019601649738,26,18.346153846153847,2,31,64.2353846153846,8.01469803644433,16,-0.9415722137426181,26,12.076923076923077,1,22,40.073846153846155,6.330390679400929,7,-1.0479858049937705,26,
CRIM SEXUAL ASSAULT,No,31,2014.225806451613,2012,2016,1.5806451612903802,1.2572371141874472,2015,-0.6477395502283989,31,6.0,1,12,11.53333333333333,3.3960761671866737,Enero,-0.8900596765382502,31,14.838709677419354,1,30,88.4731182795699,9.406015005280924,2,-1.1882471302855016,31,8.903225806451612,0,22,65.35698924731184,8.08436696639334,0,-1.3771779514028095,31,
CRIM SEXUAL ASSAULT,Sí,4,2013.75,2012,2016,2.9166666666667234,1.7078251276599496,No hay moda,0.3428571428571434,4,7.5,4,12,13.666666666666666,3.696845502136472,,-2.7162403331350387,4,20.25,16,29,37.583333333333336,6.13052471924984,16,1.8729701427229948,4,9.5,0,20,91.0,9.539392014169456,No hay moda,-4.241758241758241,4,
CRIMINAL DAMAGE,No,697,2013.893830703013,2012,2016,2.0634245287686688,1.4364625051732707,2012,-1.3638099589094974,697,6.527977044476327,1,12,10.959345470736656,3.310490216076262,Mayo,-1.120887632064747,697,16.259684361549496,1,31,81.04022576229829,9.00223448718696,26,-1.2338825298482075,697,12.645624103299857,0,23,53.30958211711929,7.301341117707026,0,-1.176151495841596,697,
CRIMINAL DAMAGE,Sí,52,2013.7307692307693,2012,2016,1.926093514328806,1.387837711812446,2012,-1.212805194762001,52,6.153846153846154,1,12,10.368024132730014,3.2199416349881274,Marzo,-1.0661737854663413,52,15.076923076923077,1,30,75.36651583710407,8.681389049979506,9,-1.1884715361394196,52,11.48076923076923,0,23,56.72511312217193,7.531607605430061,3,-1.4233432126794285,52,
CRIMINAL TRESPASS,No,51,2014.1568627450981,2012,2016,2.414901960784516,1.5539954828713358,2016,-1.4870298957288162,51,6.980392156862745,1,12,11.219607843137256,3.34956830698185,Marzo,-1.1956678277604311,51,17.215686274509803,1,31,78.93254901960783,8.884399192945342,26,-1.0113978624115592,51,13.156862745098039,0,23,39.6949019607843,6.30038903249508,19,-0.834750879850513,51,
