Ubicación,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
ABANDONED BUILDING,16,2013.3125,2012,2016,1.9625000000001407,1.40089257261224,2012,-1.0583047525722686,16,6.375,3,12,9.45,3.0740852297878796,Mayo,-0.4916491084291539,16,16.5625,3,29,71.86250000000001,8.477175237070425,8,-1.2384480086889464,16,10.6875,0,22,39.5625,6.289872812704562,0,-0.0808222781314134,16,
AIRCRAFT,2,2015.0,2015,2015,0.0,0.0,2015,,2,7.0,2,12,50.0,7.0710678118654755,,,2,2.0,2,2,0.0,0.0,2,,2,13.5,10,17,24.5,4.949747468305833,No hay moda,,2,
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,2,2015.0,2014,2016,2.0,1.4142135623730951,No hay moda,,2,1.5,1,2,0.5,0.7071067811865476,,,2,14.0,13,15,2.0,1.4142135623730951,No hay moda,,2,14.5,9,20,60.5,7.7781745930520225,No hay moda,,2,
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,1,2016.0,2016,2016,,,No hay moda,,1,6.0,6,6,,,,,1,3.0,3,3,,,No hay moda,,1,22.0,22,22,,,No hay moda,,1,
AIRPORT EXTERIOR - NON-SECURE AREA,1,2014.0,2014,2014,,,No hay moda,,1,11.0,11,11,,,,,1,2.0,2,2,,,No hay moda,,1,23.0,23,23,,,No hay moda,,1,
AIRPORT PARKING LOT,1,2016.0,2016,2016,,,No hay moda,,1,4.0,4,4,,,,,1,4.0,4,4,,,No hay moda,,1,12.0,12,12,,,No hay moda,,1,
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,5,2014.2,2013,2015,0.7000000000000455,0.8366600265341028,2014,-0.6122448979588491,5,8.0,6,10,3.5,1.8708286933869707,Junio,-2.8979591836734695,5,11.0,6,14,14.0,3.7416573867739413,14,-2.362244897959184,5,9.8,0,17,40.2,6.340346993658944,12,1.2575183782579646,5,
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,2,2014.0,2013,2015,2.0,1.4142135623730951,No hay moda,,2,6.5,5,8,4.5,2.1213203435596424,,,2,21.0,16,26,50.0,7.0710678118654755,No hay moda,,2,9.0,1,17,128.0,11.313708498984761,No hay moda,,2,
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,16,2013.5,2012,2016,1.7333333333332963,1.3165611772087524,2013,-1.0558228753495027,16,6.25,1,12,16.999999999999996,4.12310562561766,Enero,-1.4293471234647708,16,15.625,5,27,56.51666666666665,7.517756757615044,5,-1.0871920379149822,16,11.1875,5,21,22.295833333333338,4.721846390272913,5,-0.5532786537243566,16,
AIRPORT VENDING ESTABLISHMENT,5,2013.4,2012,2015,1.7999999999999545,1.341640786499857,2012,-2.4074074074072724,5,4.8,1,9,15.2,3.8987177379235853,Septiembre,-3.115477839335181,5,20.0,10,31,62.5,7.905694150420948,No hay moda,-0.0019200000000001438,5,7.8,0,22,81.19999999999999,9.011104260855047,0,1.1120446989735289,5,
